name,ipadress,image,evaluate,grade,comments,bcategory_id,adress,price,longitude,latitude,badress_id
曼乐夫（莘县店）,http://www.meituan.com/meishi/1270433/,http://p0.meituan.net/deal/f409d8ef806c399c3b2e74ae2d9a998092763.jpg@380w_214h_1e_1c,不错,3.8,8621,3,莘县振兴街世纪华联一楼,16,116.002616,36.446848,5
美忆西饼屋,http://www.meituan.com/meishi/6790210/,http://p1.meituan.net/deal/3401395ebdaf256330ced0dafa0dc97d83583.jpg@380w_214h_1e_1c,很好,5,8607,2,临清青年路青年小区3号楼（经一路南首）,15,115.972859,36.471345,3
阿田大虾（山东区旗舰店）,http://www.meituan.com/meishi/6192122/,http://p1.meituan.net/deal/__25251560__9957829.jpg@380w_214h_1e_1c,不错,4,8406,4,东昌府区振兴西路育红小学南188米（汇金街北首）,48,116.00734,36.479044,1
东方豪客（五星店）,http://www.meituan.com/meishi/4172700/,http://p1.meituan.net/shaitu/952d2a76586721f6470d9583fee55717101950.jpg@380w_214h_1e_1c,好,4.2,7413,11,东昌府区五星百货6楼北边电梯口,58,116.844854,36.314446,1
骄龙豆捞（凤凰台店）,http://www.meituan.com/meishi/2420043/,http://p0.meituan.net/mogu/f4e354910e1409f69b628814afe979cf29884.jpg@380w_214h_1e_1c,一般,3.5,7304,3,东昌府区北关街14号（凤凰台南200米路东）,58,115.967067,36.478772,1
曼德夫（铁塔店）,http://www.meituan.com/meishi/41445936/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.8,6990,3,东昌府区利民西路亿沣超市隔壁,17,115.991149,36.47847,1
木瑾紫菜包饭（莘县店）,http://www.meituan.com/meishi/41530453/,http://p0.meituan.net/deal/563da2f64f9f9e07152652c650ff7f1c361237.jpg@600w_600h_1l,很好,4.9,6990,10,莘县实小西路口向南100米路东,8,115.672075,36.241133,5
佳米洛（临清经一路店）,http://www.meituan.com/meishi/42202876/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.8,6843,11,运河半岛经一路北段飞达大厦南50米路东,12,116.844854,36.314446,3
正新鸡排（长城店）,http://www.meituan.com/meishi/98206438/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,6803,3,东昌府区柳园北路新东方购物广场（李先生牛肉面对面）,14,115.98926,36.461439,1
骨汤小羊（柳园路店）,http://www.meituan.com/meishi/1269998/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.8,6607,4,东昌府区柳园路与振兴路交叉口东南角骨汤小羊,53,115.995908,36.466737,1
熊大鱼餐厅,http://www.meituan.com/meishi/51482636/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.5,6480,9,东昌府区柳园路新东方广场如家2楼（尚街北20米）,50,116.000503,36.459874,1
圆缘园时尚茶餐厅,http://www.meituan.com/meishi/1450618/,http://p0.meituan.net/deal/201210/31/1_1031171506.jpg@600w_600h_1l,很好,5,6383,11,东昌府区东昌路金鼎购物中心1楼东南角,52,116.247052,36.861535,1
德克士（临清银座店）,http://www.meituan.com/meishi/2536310/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.3,6091,3,银座商城银座商城永清路与青年路交叉路口东南角新水源031机子,19,115.995908,36.466737,3
牛车水（三人行店）,http://www.meituan.com/meishi/3261051/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.5,6066,8,开发区（东昌东路）聊城日报社东邻路口向北,49,116.004736,36.468361,9
牧羊花火锅餐厅（汇金街店）,http://www.meituan.com/meishi/6405216/,http://p0.meituan.net/deal/__45555800__6886792.jpg@380w_214h_1e_1c,很好,5,6027,4,东昌府区北关街与振兴路交叉口东南角（兴华大酒店北临丽水名都临街楼）,57,115.976374,36.442976,1
曼德夫（茌平店）,http://www.meituan.com/meishi/4829252/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,5975,3,茌平中心街与信发步行街交叉口向东50米路南,16,116.263584,36.347289,2
小丑先生西饼屋（振兴路店）,http://www.meituan.com/meishi/4766655/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.9,5927,2,东昌府区柳园路和振兴路路口向东300米路北（振兴路与益民胡同东北角）,18,115.797834,36.123872,1
曼德夫（聊大店）,http://www.meituan.com/meishi/5502470/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.4,5616,3,东昌府区聊城大学西校区北门西200米,14,116.000394,36.446879,1
木槿紫菜包饭（开发区店）,http://www.meituan.com/meishi/5056640/,http://p0.meituan.net/deal/__44414342__7507070.jpg@380w_214h_1e_1c,很好,5,5533,10,开发区振华购物中心外美食广场入口处,10,116.042094,36.463065,9
阿田大虾（黄山南路店）,http://www.meituan.com/meishi/4725002/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.4,5501,4,开发区振华购物南邻东昌丽都30号商铺（开发区荣富中心对过）,44,116.042195,36.461454,9
简记老北京果木烤鸭,http://www.meituan.com/meishi/6245838/,http://p0.meituan.net/apiback/3da9704a01160a89074d5b027aa5ade439526.jpg@380w_214h_1e_1c,很好,5,5417,7,东昌府区兴华西路九龙宫大酒店向西50米路南,18,115.995823,36.467593,1
瑄瑄铁板饭中西简餐（经一路店）,http://www.meituan.com/meishi/6878197/,http://p1.meituan.net/shaitu/b8b10bbc3c0556295c4ceb57a9a8c33685619.jpg@380w_214h_1e_1c,很好,5,5415,3,临清经一路运河半岛步行街好声音东18米路南,13,115.796872,36.123894,3
黄记煌三汁焖锅（金鼎购物中心店）,http://www.meituan.com/meishi/5794231/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.5,5372,3,东昌府区东昌路与柳园路交叉口金鼎购物中心5楼,58,115.996843,36.461862,1
牛车水（花园路店）,http://www.meituan.com/meishi/1270376/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.5,5280,8,东昌府区花园南路99号（花园路与利民路交叉口往东路南）,49,115.797836,36.107568,1
鱼多多脆皮烤鱼（五星百货店）,http://www.meituan.com/meishi/2512387/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.5,5236,7,东昌府区柳园路五星百货6楼,64,116.015864,36.453551,1
木瑾紫菜包饭（聊大店）,http://www.meituan.com/meishi/5467452/,http://p0.meituan.net/deal/__38398087__6520872.jpg@380w_214h_1e_1c,很好,5,5095,10,东昌府区聊大西门往西90米路北,9,115.796789,36.123976,1
佛罗伦萨休闲西餐厅,http://www.meituan.com/meishi/2467579/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,4715,11,开发区开发区振华五星1楼东南角,49,115.450253,36.4931,9
富丽华蛋糕,http://www.meituan.com/meishi/40613334/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,4508,2,高唐县金城东路501号（光明大酒店斜对面）,23,116.250863,36.867864,8
韩品小厨,http://www.meituan.com/meishi/71411118/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,4411,10,东昌府区柳园路与兴华路交叉口西北角5米,29,116.25309,36.338372,1
茶大爷饮品店（金鼎购物中心）,http://www.meituan.com/meishi/2577168/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.4,4348,2,东昌府区柳园南路金鼎购物中心(近东昌路),11,116.036375,36.454676,1
瑞昌西饼屋（华山路店）,http://www.meituan.com/meishi/2427578/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,4327,2,开发区华山路北首小城故事北邻,37,115.995201,36.49124,9
绝味鸭脖（新东方店）,http://www.meituan.com/meishi/5295239/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.8,4300,3,东昌府区办事处新东方广场外场G023号,16,116.008775,36.456728,1
黑森林烘焙工坊,http://www.meituan.com/meishi/5866570/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,4235,2,运河半岛运河半岛步行街飞达大厦往南500米路西,13,116.009416,36.489597,3
多禾馅饼（临清鲁润店）,http://www.meituan.com/meishi/3317074/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.4,4087,3,鲁润商厦红星路中段鲁润商厦斜对面（鲁润）,9,115.907706,36.45583,3
鱼多多脆皮烤鱼连锁餐厅（聊城振华店）,http://www.meituan.com/meishi/3262896/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.5,3985,7,开发区东昌路与黄山路路口往南100米路东（振华购物中心1楼）,65,116.258541,36.344352,9
欣美时·小木桌吧式火锅（龙堤店）,http://www.meituan.com/meishi/5063142/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.2,3923,4,东昌府区南关街龙堤美食岛教堂南188米（近摩天轮）,56,115.995908,36.466737,1
佳米洛（临清中央帝景店）,http://www.meituan.com/meishi/99124355/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,3852,11,临清曙光路中央帝景B区22号（段家海鲜对面）,14,116.265153,36.339478,3
微山湖石锅鱼府,http://www.meituan.com/meishi/2397953/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.4,3850,4,东昌府区健康路南首运河桥西50米（南首西行50米运河桥北岸西侧）,50,115.9883,36.45553,1
茹愿的十八梯老味火锅,http://www.meituan.com/meishi/4426569/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.2,3836,4,东昌府区花园北路与水城中街路口（青年桥）北30米路西(青年桥),57,115.457212,36.503387,1
木瑾紫菜包饭（阳谷店）,http://www.meituan.com/meishi/41131976/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,3828,10,阳谷中天商贸城运河东路宝福临北门斜对面,8,116.262448,36.339772,4
东方肥牛王（卫育北路店）,http://www.meituan.com/meishi/51971675/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.8,3803,4,东昌府区卫育路与兴华路交叉口南30米路东,49,115.673719,36.239747,1
香草香草云南原生态火锅,http://www.meituan.com/meishi/6533120/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,3689,4,东昌府区柳园北路42号2层,81,115.995486,36.473345,1
阿田大虾（花园路店）,http://www.meituan.com/meishi/40992088/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.2,3590,4,东昌府区花园南路聊城耳鼻喉医院往北50米路东（天恒御景花园）,39,116.005611,36.451116,1
8点半西饼屋（闸口店）,http://www.meituan.com/meishi/1551364/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,3550,2,东昌府区闸口后菜市街与花园路交叉口西100米路南,52,115.995267,36.450396,1
佳米洛汉堡,http://www.meituan.com/meishi/63842292/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.6,3512,11,冠县冠宜春路如海超市正对面,15,115.907706,36.45583,7
曼德夫（振兴路店）,http://www.meituan.com/meishi/41610874/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.2,3461,3,东昌府区振兴西路与卫育路交叉口亿沣超市店内,14,116.251191,36.596231,1
米朵紫菜包饭（聊大店）,http://www.meituan.com/meishi/6997698/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,3432,10,东昌府区柳园街道办事处聊大西门红旗巷路北红旗小学西,11,115.998595,36.444182,1
德克士（振华店）,http://www.meituan.com/meishi/3274435/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,3300,3,开发区东昌东路与黄山南路交界，星光城市广场振华购物中心一楼,20,116.042914,36.462398,9
李二鲜鱼锅（茌平店）,http://www.meituan.com/meishi/5670674/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,3298,4,茌平振兴西路与顺河路交叉口路南,41,116.004704,36.475995,2
萨公主披萨屋（临清店）,http://www.meituan.com/meishi/91864009/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.4,3275,11,金鼎红星路众成商场西30米路北,15,116.234632,36.857305,1
筋头巴脑一锅香（茌平店）,http://www.meituan.com/meishi/1270394/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,3268,4,茌平振兴东路与商业街路口东200米,35,115.907706,36.45583,2
天禧肥牛（曙光街店）,http://www.meituan.com/meishi/5542185/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.8,3242,4,东阿县曙光街与前进街交叉口向东10米路北,38,115.686658,36.253479,6
汉丽轩（冠县店）,http://www.meituan.com/meishi/42194090/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3,3238,1,冠县冉子路建安商贸城,39,115.679814,36.232213,7
混搭餐厅,http://www.meituan.com/meishi/40114967/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,4,3222,12,东昌府区柳园北路五星百货6楼,54,115.970689,36.473409,1
熙顺紫菜包饭（新金鼎店）,http://www.meituan.com/meishi/5294231/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.7,3213,10,东昌府区柳园路新金鼎购物中心地下超市出口,11,115.995545,36.462696,1
瑞可爷爷的店,http://www.meituan.com/meishi/41140487/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.9,3185,2,东昌府区五星百货4楼,32,115.960583,36.466918,1
萨公主披萨屋,http://www.meituan.com/meishi/95208654/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.8,3086,11,京都购物广场新政路京都购物广场北对过（幼儿园西临）,20,115.712237,36.837023,1
君博肥牛,http://www.meituan.com/meishi/4164544/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.2,3072,4,东昌府区兴华东路和花园北路路口往东50米路北,39,115.98691,36.4739,1
韩旭.缘炭火烤肉,http://www.meituan.com/meishi/6070746/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,3012,10,东昌府区振兴东路第七中学向东200米路北,48,115.724645,36.837276,1
第1佳大鸡排（新东方广场店）,http://www.meituan.com/meishi/5375773/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,2976,3,东昌府区柳园北路新东方广场内,18,116.094046,36.769748,1
汪记保美板栗酥饼,http://www.meituan.com/meishi/6142589/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2893,3,东昌府区新区街道花园北路63号（西南花园路与兴华路交叉口往南10米路东）,15,116.247857,36.86896,1
小郑蛋糕,http://www.meituan.com/meishi/3289603/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.4,2878,2,冠县步行街中段路南（东方购物广场对面）,12,116.000503,36.459874,7
米斯特比萨（五星百货店）,http://www.meituan.com/meishi/5707067/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.2,2817,11,东昌府区柳园北路66号五星百货6层,81,115.975733,36.439856,1
优盛客火锅（临清店）,http://www.meituan.com/meishi/2519914/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2784,4,银座商城青年路银座东200米路南,34,115.994392,36.455603,3
福鬲单单自助回转火锅（开发区店）,http://www.meituan.com/meishi/6177112/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.8,2772,4,开发区黄山路振华购物中心地下一层,29,115.795259,36.114886,9
诺奇烘焙坊（总店）,http://www.meituan.com/meishi/41724448/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.3,2766,2,莘县政府街69号（步行街南头）,9,115.673994,36.250127,5
水城黄焖鸡米饭,http://www.meituan.com/meishi/6523017/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2758,3,临清锦绣青城南门东方豪客东188米,13,115.796872,36.123894,3
九宫格,http://www.meituan.com/meishi/42588689/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.5,2627,4,开发区振华购物中心一楼南侧,65,115.73006,36.426374,9
张记黑鱼馆,http://www.meituan.com/meishi/4631934/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2614,4,运河半岛运河半岛商业街12-10商铺（好声音爱唱客KTV北18米）,27,116.248547,36.568983,3
上岛咖啡西餐厅（兴华西路店）,http://www.meituan.com/meishi/1269954/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,2595,11,东昌府区兴华路市公安局北邻（华夏银行对面）,73,115.686365,36.242437,1
毛记冒菜,http://www.meituan.com/meishi/6490516/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.4,2586,3,东昌府区双力路阿尔卡迪亚四期南门车库旁（小芹日化旁）,24,115.98908,36.458679,1
Mini汉堡（阳谷一中店）,http://www.meituan.com/meishi/40829280/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.5,2539,11,阳谷中天商贸城阳谷一中对过,10,115.957829,36.458199,4
天禧肥牛（高唐店）,http://www.meituan.com/meishi/3317338/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2524,4,高唐县金城路西首（新华书店一楼）,33,116.000503,36.459874,8
紫金城重庆火锅,http://www.meituan.com/meishi/3283141/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.4,2504,4,东阿县前进街南紫金城C区四号楼,34,116.844854,36.314446,6
沂蒙之味糁粥,http://www.meituan.com/meishi/5615216/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2493,3,东昌府区聊城大学西校西门南丁字口西柳园南区楼下,6,115.991172,36.468817,1
北京果木烤鸭,http://www.meituan.com/meishi/5815111/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2493,7,东昌府区东关街闸口桥西行150米路北,17,115.992253,36.450032,1
板烧厨房,http://www.meituan.com/meishi/98124194/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2434,3,运河半岛经一路运河新天地步行街（好声音斜对面）,13,115.994672,36.455484,3
小厨味道,http://www.meituan.com/meishi/4224786/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.7,2434,3,东昌府区柳园北路66号（五星百货6楼西南角）,48,115.984922,36.487894,1
重庆鸡公煲（南湖店）,http://www.meituan.com/meishi/40330839/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.6,2382,9,高唐县南湖路华泰缔景苑小区东门北28米（瑞福园酒店对过，京优客超市南邻）,19,116.005278,36.487486,8
皇家蛋糕（建设路店）,http://www.meituan.com/meishi/6051289/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.6,2325,2,茌平建设路水岸豪庭门口,20,115.99609,36.444219,2
肥羊王,http://www.meituan.com/meishi/1270389/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3.2,2309,4,东昌府区柳园北路罗马圣浴北邻（近罗马圣浴）,50,115.965271,36.473954,1
辛明堂洞芝士年糕火锅,http://www.meituan.com/meishi/98175411/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.8,2303,10,东昌府区新金鼎购物中心 负一层超市出口（紧挨16号收银台）（东昌路南）,30,115.873503,36.146774,1
盛木烤肉,http://www.meituan.com/meishi/4849283/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.5,2280,10,东昌府区柳园路与育新街交叉口往东20米路南30米,44,115.540837,36.536357,1
曼德夫（青年路店）,http://www.meituan.com/meishi/4460975/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,2274,3,东阿县青年路大喜润超市1楼,14,116.262,36.338804,6
宏发园（总店）,http://www.meituan.com/meishi/2519918/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.6,2264,2,临清先锋路西首（先锋路与桃园街交叉口）,30,115.675128,36.244928,3
正宗重庆酸辣粉,http://www.meituan.com/meishi/6223994/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.8,2254,3,茌平商业街实验中学北邻（步行街东首）,10,116.268887,36.599286,2
宏发园（鲁天店）,http://www.meituan.com/meishi/2509250/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.4,2244,2,临清先锋路与新华路交口华联超市对过,13,115.673645,36.243039,3
高第街56号港式餐厅（振华店）,http://www.meituan.com/meishi/52347709/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2242,9,东昌府区柳园北路66号振华五星百货6楼,55,115.999198,36.44986,1
派乐汉堡,http://www.meituan.com/meishi/40538803/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.4,2236,11,高唐县天齐庙步行街西首，和兴佳宜宾馆对面,14,116.233691,36.874454,8
柠檬皇后（金鼎店）,http://www.meituan.com/meishi/6562291/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.7,2228,2,东昌府区东昌东路新金鼎购物中心地下一层超市收银处对过,6,115.95268,36.458602,1
明洞咖啡,http://www.meituan.com/meishi/40731326/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,2204,11,运河半岛运河半岛步行街11-2号（好声音东50米路北）,40,115.968023,36.46418,3
贵族食府,http://www.meituan.com/meishi/40620458/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2183,8,冠县建设南路武装部南588米,16,116.055235,36.464135,7
润语西饼屋,http://www.meituan.com/meishi/60016512/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2182,2,人民医院新华路自来水公司北邻20米路西,10,115.712289,36.838502,3
木槿紫菜包饭（新东方广场店）,http://www.meituan.com/meishi/40860923/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2133,3,东昌府区柳园路丽人城入口处（星程酒店对面）,12,115.951688,36.503551,1
100℃沸瓦罐滋补快餐,http://www.meituan.com/meishi/6010758/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.4,2117,3,东昌府区健康路18号附近,13,115.666052,36.241226,1
味道86（政府街店）,http://www.meituan.com/meishi/6982845/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.3,2112,2,莘县政府街人大斜对面,15,115.800577,36.130431,5
宏发园（经一路店）,http://www.meituan.com/meishi/4369520/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,2076,2,运河半岛经一路时代华庭小区斜对过,10,115.719609,36.846674,3
转运来石锅鱼,http://www.meituan.com/meishi/2392220/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.4,2071,4,东昌府区振兴路和卫育路路口向西400米路南振兴路20号楼,28,115.994902,36.471559,1
胖嘴肉蟹煲,http://www.meituan.com/meishi/94470764/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.6,2070,3,东昌府区柳园路新东方广场北首餐饮区（潮流前线二楼）,48,115.995571,36.466004,1
中心街意大利烘培（亿丰店）,http://www.meituan.com/meishi/42556783/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.8,2043,2,亿沣购物广场中心街与文化路交叉口东南角（亿丰超市北200米）,23,115.722823,36.843397,2
滕州菜煎饼,http://www.meituan.com/meishi/40773410/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,2007,3,鲁润商厦永清路鲁润十字路口南88米路东,7,115.989256,36.435436,3
阿尔卑斯西点,http://www.meituan.com/meishi/1377510/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,4,1942,2,东昌府区向阳路南首路西（与东昌路交界处）,17,115.965469,36.468054,1
贝尔披萨屋（莘县店）,http://www.meituan.com/meishi/79588618/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,1914,11,莘县振兴街与新华路交叉口东30米路北（新华书店对过）,13,115.797834,36.123872,5
馋猫鲜鱼火锅（东阿店）,http://www.meituan.com/meishi/65614488/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,1898,4,东阿县文化街王海农贸市场北门向西100米路南,27,115.473057,36.506317,6
城南往事风味主题餐厅（振华店）,http://www.meituan.com/meishi/6621277/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,1881,8,东昌府区柳园北路66号（振华五星百货六楼）,49,116.253204,36.588566,1
非糖印象九香和蛋糕（花园路店）,http://www.meituan.com/meishi/42119374/,http://127.0.0.1:8000/static/img/meishi.jpg,好,4.3,1880,2,东昌府区兴华东路和花园路交叉口向南15米路东,10,116.005216,36.468429,1
娜卡魔术石锅（聊城店）,http://www.meituan.com/meishi/95698768/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,1874,4,东昌府区东昌东路大润发一楼,28,116.009139,36.462816,1
阿田大虾（建设路店）,http://www.meituan.com/meishi/63427056/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,1862,6,东昌府区建设路与花园路交口西100米路北,47,115.679814,36.232213,1
富丽宫蛋糕面包,http://www.meituan.com/meishi/63289/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,1855,2,东昌府区新访街水城华府西门南30米路东,20,115.991384,36.471269,1
帝豪海鮮韩式火鍋自助餐,http://www.meituan.com/meishi/76583678/,http://127.0.0.1:8000/static/img/meishi.jpg,一般,3,1839,1,临清新华路中段保险公司北邻（名爵健身館）,45,115.673337,36.247809,3
叶子干锅,http://www.meituan.com/meishi/4610658/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,4.9,1820,3,京都购物广场中心街宝福林购物中心对过,21,115.95515,36.466145,1
渔多多鸳鸯锅,http://www.meituan.com/meishi/42510943/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,1799,4,运河半岛锦绣青城回迁楼南门西88米路北（飞达大厦南行经一路丁字路口向东）,23,115.682398,36.240698,3
大福园蛋糕,http://www.meituan.com/meishi/40527738/,http://127.0.0.1:8000/static/img/meishi.jpg,很好,5,1798,2,枣乡街枣乡街财局局南300米路东,20,115.667116,36.246148,2
正宗重庆酸辣粉（一中店）,http://www.meituan.com/meishi/40068685/,http://127.0.0.1:8000/static/img/meishi.jpg,不错,3.9,1797,3,茌平文化路一中正对面,11,116.253436,36.586251,2
